review_id,shop_name,address,city,neighborhood,review_date,reviewer_id,overall_rating,coffee_quality,service_quality,atmosphere,value_score,avg_price,wait_time_minutes,has_wifi,power_outlets,outdoor_seating,parking,mobile_ordering,review_text
21,Central Perk,123 Main St,Boston,Downtown,2025-06-05,R8813,4.3,5,4.3,3.8,2.4,3.02,4,True,Limited,False,None,True,"Amazing coffee, perfectly brewed. Staff seemed rushed. Quiet and peaceful."
22,Central Perk,123 Main St,Boston,Downtown,2025-06-11,R8386,4.2,4.8,3.5,4.9,2.4,5.69,15,True,None,True,Valet,False,Excellent pour-over. Long wait but worth it. Needs better lighting.
23,Central Perk,123 Main St,Boston,Downtown,2025-06-23,R1551,4.4,5,4.7,3.6,2.6,3.47,7,False,Plenty,True,Valet,True,"Coffee was okay, nothing special. Staff was helpful and knowledgeable. Cozy atmosphere, perfect for working."
24,Central Perk,123 Main St,Boston,Downtown,2025-07-14,R2596,4.1,5,3.6,4.0,2.5,4.28,6,True,Plenty,True,Street,True,"Coffee was okay, nothing special. Service was slow today. Quiet and peaceful."
25,Central Perk,123 Main St,Boston,Downtown,2025-08-22,R1224,4.2,4.7,3.6,4.4,3.8,3.74,9,True,Plenty,False,Street,True,"Coffee tasted burnt. Service was slow today. Too noisy, hard to concentrate."
26,Central Perk,123 Main St,Boston,Downtown,2025-11-14,R3316,4.5,5,4.0,4.9,2.7,4.98,11,True,Limited,True,Valet,False,"Coffee was okay, nothing special. Friendly staff, quick service. Too noisy, hard to concentrate."
27,Central Perk,123 Main St,Boston,Downtown,2025-09-14,R8347,4.2,4.1,3.9,5,3.8,3.18,7,True,Plenty,False,Street,False,"Excellent pour-over. Baristas are amazing. Beautiful space, great vibes."
28,Central Perk,123 Main St,Boston,Downtown,2025-08-31,R2028,4.7,4.9,4.6,4.9,3.4,3.54,3,True,None,False,Valet,True,"Amazing coffee, perfectly brewed. Staff seemed rushed. Beautiful space, great vibes."
29,Central Perk,123 Main St,Boston,Downtown,2025-06-08,R8622,3.8,4.2,3.6,3.7,3.4,3.35,7,True,Limited,False,Valet,False,"Excellent pour-over. Service was slow today. Cozy atmosphere, perfect for working."
30,Central Perk,123 Main St,Boston,Downtown,2025-08-29,R2739,4.2,4.2,4.2,4.9,2.5,5.35,9,True,Plenty,True,None,False,Best latte in the city. Staff was helpful and knowledgeable. Quiet and peaceful.
31,Central Perk,123 Main St,Boston,Downtown,2025-07-17,R7554,4.1,5,3.1,4.6,2.5,5.28,7,True,Limited,True,Lot,True,"Excellent pour-over. Staff was helpful and knowledgeable. Beautiful space, great vibes."
32,Central Perk,123 Main St,Boston,Downtown,2025-07-15,R2009,4.1,4.1,4.1,4.9,2.8,3.53,5,True,Plenty,True,Lot,False,"Decent coffee, could be better. Baristas are amazing. Quiet and peaceful."
33,Central Perk,123 Main St,Boston,Downtown,2025-09-27,R9890,3.8,3.8,4.1,4.0,2.4,3.32,3,False,None,False,Valet,True,Coffee tasted burnt. Staff was helpful and knowledgeable. Needs better lighting.
34,Central Perk,123 Main St,Boston,Downtown,2025-08-07,R1042,4.0,3.9,4.1,4.7,2.3,5.91,12,False,Limited,True,None,True,"Coffee tasted burnt. Staff seemed rushed. Too noisy, hard to concentrate."
35,Central Perk,123 Main St,Boston,Downtown,2025-10-21,R5135,4.3,5,3.6,4.5,3.2,2.89,4,True,None,False,Valet,False,Coffee tasted burnt. Staff seemed rushed. Crowded but welcoming.
36,Central Perk,123 Main St,Boston,Downtown,2025-11-07,R6518,4.5,4.9,4.5,4.4,3.4,5.31,3,False,Plenty,False,Street,True,"Great espresso, smooth and rich. Friendly staff, quick service. Cozy atmosphere, perfect for working."
37,Central Perk,123 Main St,Boston,Downtown,2025-10-20,R9500,3.9,4.3,3.6,3.7,3.1,3.47,4,False,Limited,False,Street,True,"Amazing coffee, perfectly brewed. Service was slow today. Crowded but welcoming."
38,Central Perk,123 Main St,Boston,Downtown,2025-10-17,R6805,4.5,5,4.7,4.2,2.7,2.56,5,True,Limited,False,Lot,False,Coffee tasted burnt. Long wait but worth it. Needs better lighting.
39,Central Perk,123 Main St,Boston,Downtown,2025-10-30,R1021,3.9,4.1,4.2,3.6,2.9,3.96,9,True,Plenty,True,Valet,False,"Great espresso, smooth and rich. Baristas are amazing. Cozy atmosphere, perfect for working."
40,Central Perk,123 Main St,Boston,Downtown,2025-10-30,R9566,4.2,4.2,4.1,4.6,3.6,2.65,5,False,Plenty,False,None,True,"Amazing coffee, perfectly brewed. Long wait but worth it. Crowded but welcoming."
41,Central Perk,123 Main St,Boston,Downtown,2025-07-25,R5649,4.2,5,3.4,4.3,3.6,5.62,15,True,Limited,False,Lot,True,"Best latte in the city. Service was slow today. Beautiful space, great vibes."
42,Central Perk,123 Main St,Boston,Downtown,2025-09-03,R7578,4.2,4.2,4.3,5,2.5,5.08,14,True,Limited,False,Valet,False,Best latte in the city. Service was slow today. Modern and clean.
43,Central Perk,123 Main St,Boston,Downtown,2025-09-08,R5245,4.4,5,4.4,3.7,3.2,3.41,15,True,Limited,True,Valet,True,"Excellent pour-over. Staff was helpful and knowledgeable. Beautiful space, great vibes."
44,Central Perk,123 Main St,Boston,Downtown,2025-07-10,R2875,4.2,4.6,4.4,4.3,2.3,3.01,11,False,None,True,Lot,False,"Amazing coffee, perfectly brewed. Baristas are amazing. Cozy atmosphere, perfect for working."
45,Central Perk,123 Main St,Boston,Downtown,2025-05-29,R9437,4.0,4.2,3.8,4.3,3.0,3.85,8,True,None,True,Street,True,"Great espresso, smooth and rich. Great customer service. Modern and clean."
46,Central Perk,123 Main St,Boston,Downtown,2025-06-12,R6751,3.9,3.8,4.0,4.2,3.3,2.74,12,False,Limited,False,None,True,"Amazing coffee, perfectly brewed. Long wait but worth it. Too noisy, hard to concentrate."
47,Central Perk,123 Main St,Boston,Downtown,2025-07-26,R1320,3.9,4.7,3.3,3.6,2.8,3.94,8,True,None,True,Valet,True,Excellent pour-over. Service was slow today. Modern and clean.
48,Central Perk,123 Main St,Boston,Downtown,2025-10-17,R9879,3.9,3.8,4.2,4.3,2.7,5.2,8,True,Limited,False,Valet,True,Best latte in the city. Service was slow today. Crowded but welcoming.
49,Central Perk,123 Main St,Boston,Downtown,2025-09-05,R2431,4.0,5,3.1,4.0,2.7,5.46,6,True,Plenty,False,Valet,False,"Coffee tasted burnt. Friendly staff, quick service. Quiet and peaceful."
50,Central Perk,123 Main St,Boston,Downtown,2025-08-06,R9663,4.4,4.8,4.3,4.5,3.1,4.26,7,False,None,True,None,True,"Amazing coffee, perfectly brewed. Great customer service. Quiet and peaceful."
51,Central Perk,123 Main St,Boston,Downtown,2025-10-22,R9043,4.1,4.9,3.5,3.7,3.4,4.48,7,False,Plenty,True,Street,True,"Excellent pour-over. Service was slow today. Beautiful space, great vibes."
52,Central Perk,123 Main St,Boston,Downtown,2025-11-20,R3430,4.0,3.9,4.0,4.4,3.3,4.47,10,False,Plenty,True,Lot,False,"Amazing coffee, perfectly brewed. Service was slow today. Needs better lighting."
53,Central Perk,123 Main St,Boston,Downtown,2025-07-22,R2239,4.1,4.7,3.1,4.5,3.6,4.48,15,True,Plenty,True,Lot,True,"Coffee was okay, nothing special. Friendly staff, quick service. Needs better lighting."
54,Central Perk,123 Main St,Boston,Downtown,2025-10-08,R6512,4.2,4.9,3.2,4.8,2.7,3.67,13,False,Plenty,False,Street,False,"Decent coffee, could be better. Service was slow today. Needs better lighting."
55,Central Perk,123 Main St,Boston,Downtown,2025-06-22,R7775,4.4,5,4.3,4.2,2.9,3.95,10,True,None,True,Valet,True,"Coffee tasted burnt. Great customer service. Too noisy, hard to concentrate."
56,Central Perk,123 Main St,Boston,Downtown,2025-11-17,R5987,4.4,5,3.5,5,3.3,3.52,5,True,Plenty,True,None,True,"Amazing coffee, perfectly brewed. Staff was helpful and knowledgeable. Beautiful space, great vibes."
57,Central Perk,123 Main St,Boston,Downtown,2025-09-05,R2992,4.4,4.4,4.6,4.8,3.1,4.19,2,True,Plenty,True,None,False,"Coffee was okay, nothing special. Service was slow today. Needs better lighting."
58,Central Perk,123 Main St,Boston,Downtown,2025-09-06,R8165,4.0,4.6,3.1,4.5,3.2,5.64,8,False,None,True,Valet,True,"Amazing coffee, perfectly brewed. Staff was helpful and knowledgeable. Modern and clean."
59,Central Perk,123 Main St,Boston,Downtown,2025-10-31,R4037,4.3,5,4.3,3.7,3.1,3.35,2,True,None,False,Street,False,"Coffee was okay, nothing special. Staff was helpful and knowledgeable. Beautiful space, great vibes."
60,Central Perk,123 Main St,Boston,Downtown,2025-11-16,R9163,4.0,4.1,4.0,4.7,2.5,4.79,12,False,None,True,Lot,True,"Excellent pour-over. Friendly staff, quick service. Crowded but welcoming."
61,Central Perk,123 Main St,Boston,Downtown,2025-10-16,R6056,4.3,5,4.4,4.0,2.3,3.55,8,True,None,False,Street,False,"Amazing coffee, perfectly brewed. Baristas are amazing. Cozy atmosphere, perfect for working."
62,Central Perk,123 Main St,Boston,Downtown,2025-05-29,R7388,4.3,5,4.2,3.9,2.3,3.64,6,True,Limited,False,Street,True,"Decent coffee, could be better. Staff seemed rushed. Cozy atmosphere, perfect for working."
63,Central Perk,123 Main St,Boston,Downtown,2025-06-03,R7454,4.2,5,3.9,4.2,2.4,2.88,7,False,None,False,None,False,"Coffee tasted burnt. Great customer service. Beautiful space, great vibes."
64,Central Perk,123 Main St,Boston,Downtown,2025-10-31,R6168,4.3,4.9,3.3,4.8,3.5,5.65,5,True,Plenty,False,Street,True,"Decent coffee, could be better. Great customer service. Beautiful space, great vibes."
65,Central Perk,123 Main St,Boston,Downtown,2025-05-26,R9032,3.9,4.1,4.0,3.8,3.4,5.01,2,False,Limited,False,Valet,False,"Great espresso, smooth and rich. Service was slow today. Too noisy, hard to concentrate."
66,Central Perk,123 Main St,Boston,Downtown,2025-06-09,R3478,4.0,3.8,3.7,4.9,3.5,2.78,9,True,Plenty,False,Valet,False,"Coffee was okay, nothing special. Great customer service. Crowded but welcoming."
67,Central Perk,123 Main St,Boston,Downtown,2025-06-21,R1422,4.2,4.3,4.7,3.8,2.8,5.73,10,True,Plenty,False,Lot,True,"Best latte in the city. Great customer service. Cozy atmosphere, perfect for working."
68,Central Perk,123 Main St,Boston,Downtown,2025-11-14,R1100,4.7,5,4.5,4.9,3.2,5.65,11,False,Plenty,True,None,False,"Decent coffee, could be better. Baristas are amazing. Too noisy, hard to concentrate."
69,Central Perk,123 Main St,Boston,Downtown,2025-06-20,R2273,3.9,4.1,4.4,3.6,2.5,5.6,4,False,Plenty,True,None,True,"Best latte in the city. Friendly staff, quick service. Crowded but welcoming."
70,Central Perk,123 Main St,Boston,Downtown,2025-06-19,R6394,4.2,5,3.3,4.6,3.3,3.67,14,True,Plenty,True,Lot,True,"Coffee was okay, nothing special. Baristas are amazing. Needs better lighting."
71,Central Perk,123 Main St,Boston,Downtown,2025-10-28,R8431,4.3,4.8,3.5,4.7,3.7,4.89,13,True,Plenty,True,Street,True,"Decent coffee, could be better. Long wait but worth it. Beautiful space, great vibes."
72,Central Perk,123 Main St,Boston,Downtown,2025-08-28,R6952,4.3,4.9,4.2,3.9,3.3,5.05,6,False,Limited,False,Street,False,"Great espresso, smooth and rich. Staff was helpful and knowledgeable. Needs better lighting."
73,Central Perk,123 Main St,Boston,Downtown,2025-07-09,R1760,3.7,3.9,3.1,4.5,3.4,5.91,9,True,None,True,None,True,"Coffee was okay, nothing special. Staff was helpful and knowledgeable. Quiet and peaceful."
74,Central Perk,123 Main St,Boston,Downtown,2025-09-07,R5870,4.3,5,3.9,4.0,3.6,5.5,4,True,Plenty,True,Street,True,"Decent coffee, could be better. Service was slow today. Too noisy, hard to concentrate."
75,Central Perk,123 Main St,Boston,Downtown,2025-06-01,R6832,3.9,4.2,3.5,4.2,2.8,3.32,5,True,Plenty,True,Valet,True,"Coffee was okay, nothing special. Great customer service. Too noisy, hard to concentrate."
76,Central Perk,123 Main St,Boston,Downtown,2025-09-16,R5774,4.1,3.9,4.5,4.2,3.7,4.47,3,True,None,True,Valet,True,Excellent pour-over. Service was slow today. Needs better lighting.
77,Central Perk,123 Main St,Boston,Downtown,2025-09-20,R2676,4.5,5,3.9,4.6,3.7,5.52,3,False,Limited,True,Valet,True,Best latte in the city. Staff was helpful and knowledgeable. Quiet and peaceful.
78,Central Perk,123 Main St,Boston,Downtown,2025-06-03,R3607,4.1,4.1,3.6,5,3.6,5.31,6,True,Limited,True,None,True,"Coffee was okay, nothing special. Baristas are amazing. Needs better lighting."
79,Central Perk,123 Main St,Boston,Downtown,2025-08-11,R7778,4.4,5,4.1,4.8,2.5,4.46,12,True,None,True,Valet,False,"Great espresso, smooth and rich. Long wait but worth it. Crowded but welcoming."
80,Central Perk,123 Main St,Boston,Downtown,2025-10-27,R6158,4.3,5,3.7,4.6,2.6,2.88,10,True,Limited,True,None,False,"Coffee was okay, nothing special. Service was slow today. Too noisy, hard to concentrate."
81,Central Perk,123 Main St,Boston,Downtown,2025-05-27,R3760,4.2,4.7,3.4,4.7,3.5,5.94,13,True,None,True,Street,False,"Great espresso, smooth and rich. Long wait but worth it. Too noisy, hard to concentrate."
82,Central Perk,123 Main St,Boston,Downtown,2025-07-02,R7109,4.0,4.0,3.9,4.5,3.2,4.6,15,True,Plenty,False,Street,True,Excellent pour-over. Long wait but worth it. Needs better lighting.
83,Central Perk,123 Main St,Boston,Downtown,2025-09-03,R1156,3.9,4.7,3.2,4.2,2.5,5.87,8,False,Plenty,True,Street,True,Excellent pour-over. Staff was helpful and knowledgeable. Needs better lighting.
84,Central Perk,123 Main St,Boston,Downtown,2025-08-03,R7172,4.4,5,4.2,4.1,2.9,5.49,3,True,None,True,None,True,"Excellent pour-over. Staff seemed rushed. Too noisy, hard to concentrate."
85,Central Perk,123 Main St,Boston,Downtown,2025-11-21,R7641,4.6,4.9,4.6,4.5,3.2,5.01,3,True,Limited,True,Street,False,Best latte in the city. Long wait but worth it. Quiet and peaceful.
86,Central Perk,123 Main St,Boston,Downtown,2025-07-27,R6644,4.1,4.8,3.8,4.3,2.3,3.81,10,True,Plenty,False,Lot,True,"Decent coffee, could be better. Service was slow today. Too noisy, hard to concentrate."
87,Central Perk,123 Main St,Boston,Downtown,2025-11-13,R8524,4.4,4.9,4.0,4.1,3.8,2.7,10,True,Plenty,True,Street,True,"Great espresso, smooth and rich. Baristas are amazing. Quiet and peaceful."
88,Central Perk,123 Main St,Boston,Downtown,2025-11-07,R7079,4.0,4.0,4.1,4.5,3.2,4.45,15,True,Plenty,True,Valet,True,"Coffee tasted burnt. Great customer service. Beautiful space, great vibes."
89,Central Perk,123 Main St,Boston,Downtown,2025-09-12,R3074,3.8,4.1,3.7,3.7,2.7,4.87,7,False,Plenty,True,Street,True,"Coffee was okay, nothing special. Friendly staff, quick service. Modern and clean."
90,Central Perk,123 Main St,Boston,Downtown,2025-08-18,R4092,4.3,4.6,3.9,4.8,3.2,3.12,2,False,Limited,False,Street,True,"Coffee was okay, nothing special. Baristas are amazing. Quiet and peaceful."
91,Central Perk,123 Main St,Boston,Downtown,2025-07-21,R3672,4.4,5,4.2,4.0,3.2,3.99,6,True,Plenty,True,Valet,True,Excellent pour-over. Long wait but worth it. Crowded but welcoming.
92,Central Perk,123 Main St,Boston,Downtown,2025-06-22,R7126,4.2,5,4.1,3.7,2.7,5.58,14,True,Plenty,True,Valet,True,"Best latte in the city. Great customer service. Beautiful space, great vibes."
93,Central Perk,123 Main St,Boston,Downtown,2025-10-31,R7532,4.4,5,4.0,4.3,3.8,2.52,10,False,Plenty,False,None,True,"Decent coffee, could be better. Service was slow today. Needs better lighting."
94,Central Perk,123 Main St,Boston,Downtown,2025-06-19,R1926,3.9,4.0,3.5,4.2,3.7,5.05,15,True,Plenty,False,Valet,False,"Coffee tasted burnt. Service was slow today. Beautiful space, great vibes."
95,Central Perk,123 Main St,Boston,Downtown,2025-06-24,R8139,4.3,4.6,4.0,4.3,3.6,4.94,13,True,None,False,Valet,False,Best latte in the city. Baristas are amazing. Crowded but welcoming.
96,Central Perk,123 Main St,Boston,Downtown,2025-07-22,R5151,3.8,4.0,3.3,4.7,2.4,5.8,10,False,None,False,Street,True,"Decent coffee, could be better. Friendly staff, quick service. Crowded but welcoming."
97,Central Perk,123 Main St,Boston,Downtown,2025-06-30,R9602,3.9,3.8,3.6,4.6,3.6,5.7,15,True,Plenty,True,Street,False,"Decent coffee, could be better. Baristas are amazing. Beautiful space, great vibes."
98,Central Perk,123 Main St,Boston,Downtown,2025-08-07,R8161,4.1,4.3,4.1,4.0,3.6,5.24,15,True,Plenty,False,Lot,True,Best latte in the city. Service was slow today. Modern and clean.
99,Central Perk,123 Main St,Boston,Downtown,2025-09-24,R4888,3.7,4.0,3.6,4.0,2.6,5.07,5,False,Limited,True,None,True,"Coffee was okay, nothing special. Service was slow today. Needs better lighting."
100,Central Perk,123 Main St,Boston,Downtown,2025-08-12,R8346,4.2,5,3.7,4.0,2.7,3.28,7,True,Plenty,True,Lot,True,"Excellent pour-over. Great customer service. Beautiful space, great vibes."
101,Central Perk,123 Main St,Boston,Downtown,2025-07-02,R5074,3.9,4.6,3.5,3.6,2.5,3.82,11,True,Plenty,False,None,False,"Amazing coffee, perfectly brewed. Friendly staff, quick service. Too noisy, hard to concentrate."
102,Central Perk,123 Main St,Boston,Downtown,2025-10-17,R5098,4.1,5,3.7,3.8,2.4,3.28,7,True,None,True,None,False,"Decent coffee, could be better. Baristas are amazing. Cozy atmosphere, perfect for working."
103,Central Perk,123 Main St,Boston,Downtown,2025-08-23,R1314,4.0,4.8,3.4,4.2,2.5,4.15,5,True,None,False,Street,True,"Amazing coffee, perfectly brewed. Staff was helpful and knowledgeable. Quiet and peaceful."
104,Central Perk,123 Main St,Boston,Downtown,2025-07-20,R6279,4.1,3.9,4.3,5,3.0,4.49,3,True,None,True,None,True,"Coffee was okay, nothing special. Great customer service. Beautiful space, great vibes."
105,Central Perk,123 Main St,Boston,Downtown,2025-10-23,R6642,4.2,4.3,3.8,5,3.4,4.24,6,True,None,False,Street,False,Coffee tasted burnt. Service was slow today. Needs better lighting.
106,Central Perk,123 Main St,Boston,Downtown,2025-08-20,R1740,3.8,4.0,4.0,3.6,3.0,5.1,9,True,Limited,False,None,False,"Excellent pour-over. Great customer service. Too noisy, hard to concentrate."
107,Central Perk,123 Main St,Boston,Downtown,2025-08-02,R2877,3.9,4.1,3.1,5,3.0,2.93,8,True,None,True,None,False,"Great espresso, smooth and rich. Long wait but worth it. Modern and clean."
108,Central Perk,123 Main St,Boston,Downtown,2025-08-09,R9009,4.4,4.5,4.5,4.3,3.6,5.37,6,True,Plenty,True,None,True,"Coffee was okay, nothing special. Long wait but worth it. Too noisy, hard to concentrate."
109,Central Perk,123 Main St,Boston,Downtown,2025-10-05,R1615,4.0,4.3,3.6,4.3,3.1,2.89,13,True,None,False,Lot,True,"Amazing coffee, perfectly brewed. Long wait but worth it. Crowded but welcoming."
110,Central Perk,123 Main St,Boston,Downtown,2025-09-18,R6457,4.0,4.6,3.5,4.5,2.4,4.65,9,True,Plenty,True,Valet,True,Excellent pour-over. Service was slow today. Needs better lighting.
111,Central Perk,123 Main St,Boston,Downtown,2025-10-30,R4148,4.1,4.3,4.5,3.7,2.9,4.32,9,True,Plenty,True,Street,False,Excellent pour-over. Great customer service. Modern and clean.
112,Central Perk,123 Main St,Boston,Downtown,2025-09-28,R4383,4.6,5,4.2,4.8,3.5,2.56,4,True,Plenty,True,Street,True,"Amazing coffee, perfectly brewed. Baristas are amazing. Modern and clean."
113,Central Perk,123 Main St,Boston,Downtown,2025-08-11,R3947,4.5,5,4.5,4.5,2.3,4.77,12,False,None,True,Lot,False,Excellent pour-over. Staff was helpful and knowledgeable. Modern and clean.
114,Central Perk,123 Main St,Boston,Downtown,2025-09-02,R5172,4.1,4.4,4.3,3.5,3.8,2.99,9,True,Plenty,False,Street,True,"Decent coffee, could be better. Staff was helpful and knowledgeable. Modern and clean."
115,Central Perk,123 Main St,Boston,Downtown,2025-10-14,R7970,3.9,4.6,3.3,3.9,2.7,3.19,15,True,None,False,None,True,"Amazing coffee, perfectly brewed. Friendly staff, quick service. Quiet and peaceful."
116,Central Perk,123 Main St,Boston,Downtown,2025-06-11,R8965,4.4,5,4.3,3.9,2.8,2.72,6,True,Plenty,False,Street,False,"Excellent pour-over. Friendly staff, quick service. Modern and clean."
117,Central Perk,123 Main St,Boston,Downtown,2025-11-13,R4365,4.2,4.4,3.7,5,3.8,3.42,11,False,Plenty,True,Street,True,"Coffee was okay, nothing special. Long wait but worth it. Cozy atmosphere, perfect for working."
118,Central Perk,123 Main St,Boston,Downtown,2025-11-06,R3967,4.3,4.2,4.4,5,2.7,4.93,3,False,None,True,Street,True,Best latte in the city. Staff seemed rushed. Quiet and peaceful.
119,Central Perk,123 Main St,Boston,Downtown,2025-06-19,R6372,4.5,5,4.3,4.7,3.0,3.98,9,True,None,True,Lot,False,Coffee tasted burnt. Staff seemed rushed. Modern and clean.
120,Central Perk,123 Main St,Boston,Downtown,2025-09-08,R3288,4.0,5,3.2,3.7,3.5,5.59,13,True,None,True,Valet,True,"Coffee was okay, nothing special. Staff was helpful and knowledgeable. Beautiful space, great vibes."
121,Central Perk,123 Main St,Boston,Downtown,2025-08-14,R7477,4.2,4.7,4.0,4.3,2.3,4.99,5,False,Limited,True,Street,True,"Coffee was okay, nothing special. Friendly staff, quick service. Beautiful space, great vibes."
122,Central Perk,123 Main St,Boston,Downtown,2025-08-22,R7047,3.9,3.8,4.4,3.6,3.2,5.92,6,True,Plenty,True,Street,True,"Great espresso, smooth and rich. Service was slow today. Crowded but welcoming."
123,Central Perk,123 Main St,Boston,Downtown,2025-06-05,R5150,4.0,4.1,4.3,4.3,2.6,4.77,10,True,Limited,False,Street,True,Best latte in the city. Staff seemed rushed. Needs better lighting.
124,Central Perk,123 Main St,Boston,Downtown,2025-10-31,R1403,4.1,4.6,3.3,4.4,3.5,5.56,13,False,None,False,None,True,"Amazing coffee, perfectly brewed. Friendly staff, quick service. Quiet and peaceful."
125,Central Perk,123 Main St,Boston,Downtown,2025-10-27,R8101,3.9,4.0,3.6,4.3,3.2,2.71,2,True,Plenty,False,Street,False,"Amazing coffee, perfectly brewed. Staff seemed rushed. Too noisy, hard to concentrate."
126,Central Perk,123 Main St,Boston,Downtown,2025-07-02,R9974,4.2,5,3.4,4.5,3.3,5.37,7,True,Plenty,True,Lot,False,"Amazing coffee, perfectly brewed. Service was slow today. Quiet and peaceful."
127,Central Perk,123 Main St,Boston,Downtown,2025-11-12,R8810,4.2,5,3.8,4.1,2.9,5.58,7,False,Limited,True,Lot,False,"Decent coffee, could be better. Staff seemed rushed. Beautiful space, great vibes."
128,Central Perk,123 Main St,Boston,Downtown,2025-08-10,R5094,4.2,4.6,4.0,4.5,2.6,5.9,10,True,Plenty,True,Lot,False,Best latte in the city. Long wait but worth it. Crowded but welcoming.
129,Central Perk,123 Main St,Boston,Downtown,2025-11-17,R1984,4.2,4.8,3.7,4.1,3.8,5.08,7,False,None,True,Valet,False,Best latte in the city. Service was slow today. Needs better lighting.
130,Central Perk,123 Main St,Boston,Downtown,2025-07-11,R9393,3.8,4.0,3.7,4.4,2.4,4.81,4,True,Limited,False,None,True,"Coffee was okay, nothing special. Staff was helpful and knowledgeable. Beautiful space, great vibes."
